"order_id","cliente_id_order","seller_id_order","date_order","total_price","pay_method","status"
21,10,5,"2026-05-11",740.00,pix,CONCLUIDO
22,11,6,"2026-05-21",800.00,debito,CONCLUIDO
23,12,7,"2026-06-05",255.00,credito,CONCLUIDO
24,13,8,"2026-06-15",239.90,pix,CONCLUIDO
25,14,9,"2026-06-25",350.00,credito,CONCLUIDO
26,7,10,"2026-07-05",829.90,debito,CONCLUIDO
27,8,11,"2026-07-20",180.00,pix,CONCLUIDO
28,9,12,"2026-07-25",349.70,credito,CONCLUIDO
29,6,13,"2026-07-30",1300.00,pix,CONCLUIDO
30,10,14,"2026-08-04",195.00,debito,CONCLUIDO
31,11,5,"2026-08-09",174.90,credito,CONCLUIDO
32,12,6,"2026-08-27",850.00,pix,CONCLUIDO
33,13,7,"2026-08-30",180.00,debito,CONCLUIDO
34,14,8,"2026-09-03",180.00,credito,CONCLUIDO
35,7,9,"2026-09-04",1069.90,pix,CONCLUIDO
36,8,10,"2026-09-05",469.80,credito,CONCLUIDO
37,9,11,"2026-09-06",79.90,pix,PENDENTE
38,6,12,"2026-09-07",720.00,credito,CONCLUIDO
39,10,13,"2026-09-08",285.00,pix,PENDENTE
40,11,14,"2026-09-08",189.90,credito,CONCLUIDO
41,29,7,"2026-07-07",1942.90,debito,CONCLUIDO
42,11,6,"2026-05-13",979.80,pix,CONCLUIDO
43,65,13,"2025-07-25",199.90,debito,CONCLUIDO
44,39,12,"2025-05-04",850.00,pix,CONCLUIDO
45,43,8,"2025-01-08",353.29,pix,CONCLUIDO
46,40,7,"2026-08-08",899.90,debito,CONCLUIDO
47,12,6,"2026-03-18",145.59,credito,CONCLUIDO
48,47,6,"2025-03-04",958.47,credito,CONCLUIDO
49,65,6,"2026-03-30",599.70,debito,CONCLUIDO
50,11,8,"2025-06-20",440.00,credito,CONCLUIDO
51,16,11,"2025-01-03",1763.45,credito,CONCLUIDO
52,52,13,"2026-05-14",660.00,pix,CONCLUIDO
53,40,5,"2025-11-18",90.00,pix,CONCLUIDO
54,16,5,"2026-06-05",279.90,pix,CONCLUIDO
55,42,8,"2026-08-16",100.00,debito,CONCLUIDO
56,39,10,"2025-09-25",1035.95,pix,CONCLUIDO
57,65,6,"2025-01-10",362.97,credito,CONCLUIDO
58,62,8,"2026-01-14",249.90,credito,CONCLUIDO
59,57,13,"2025-01-09",349.90,debito,CONCLUIDO
60,53,13,"2025-06-09",186.46,credito,CONCLUIDO
61,22,13,"2026-05-16",574.74,credito,CONCLUIDO
62,41,11,"2026-07-29",159.80,pix,CONCLUIDO
63,59,10,"2026-08-20",650.00,debito,CONCLUIDO
64,65,5,"2026-01-02",399.90,pix,CONCLUIDO
65,53,7,"2025-08-31",1669.90,pix,CONCLUIDO
66,57,8,"2025-10-01",260.00,pix,CONCLUIDO
67,35,10,"2025-11-09",156.00,pix,CONCLUIDO
68,55,9,"2025-12-26",599.70,debito,CONCLUIDO
69,7,6,"2025-09-25",150.00,pix,CONCLUIDO
70,28,10,"2026-03-23",315.28,debito,CONCLUIDO
71,53,8,"2026-01-08",399.80,credito,CONCLUIDO
72,48,6,"2025-11-04",60.00,debito,CONCLUIDO
73,41,7,"2025-07-16",241.90,credito,CONCLUIDO
74,25,9,"2025-08-04",379.80,credito,CONCLUIDO
75,56,7,"2025-03-28",152.06,credito,CONCLUIDO
76,21,9,"2025-08-19",180.00,pix,CONCLUIDO
77,60,6,"2026-04-12",363.96,credito,CONCLUIDO
78,63,6,"2026-03-12",63.69,pix,CONCLUIDO
79,60,6,"2026-04-13",1349.40,pix,CONCLUIDO
80,45,13,"2026-03-13",650.00,debito,CONCLUIDO
81,22,8,"2025-10-11",202.14,debito,CONCLUIDO
82,23,10,"2025-11-24",650.00,debito,CONCLUIDO
83,51,8,"2025-03-07",207.42,credito,CONCLUIDO
84,30,14,"2025-01-21",337.45,debito,CONCLUIDO
85,63,11,"2026-07-06",1979.70,debito,CONCLUIDO
86,30,10,"2026-02-19",180.00,debito,CONCLUIDO
87,40,5,"2026-02-08",180.00,debito,CONCLUIDO
88,61,12,"2025-07-06",810.74,pix,CONCLUIDO
89,30,9,"2026-03-08",194.92,credito,CONCLUIDO
90,8,5,"2025-09-11",829.90,pix,CONCLUIDO
91,35,9,"2026-01-13",2773.44,pix,CONCLUIDO
92,25,14,"2026-01-20",679.80,credito,CONCLUIDO
93,13,14,"2025-02-12",199.90,credito,CONCLUIDO
94,27,5,"2026-03-07",850.00,credito,CONCLUIDO
95,51,7,"2026-03-22",499.90,pix,CONCLUIDO
96,58,14,"2025-10-02",324.09,credito,CONCLUIDO
97,7,12,"2025-11-29",1655.39,pix,CONCLUIDO
98,50,9,"2026-07-24",220.00,pix,CONCLUIDO
99,37,13,"2025-09-04",79.90,debito,CONCLUIDO
100,11,9,"2025-08-15",349.90,credito,CONCLUIDO
101,53,13,"2025-12-05",1036.23,credito,CONCLUIDO
102,54,7,"2025-07-16",229.90,pix,CONCLUIDO
103,59,8,"2025-10-31",150.00,pix,CONCLUIDO
104,23,5,"2025-02-25",650.00,debito,CONCLUIDO
105,12,5,"2026-08-11",90.00,credito,CONCLUIDO
106,22,12,"2025-04-27",100.00,pix,CONCLUIDO
107,15,7,"2026-07-31",220.00,credito,CONCLUIDO
108,44,14,"2025-08-20",90.00,debito,CONCLUIDO
109,33,9,"2026-08-06",79.90,debito,CONCLUIDO
110,46,8,"2025-09-28",214.88,debito,CONCLUIDO
111,34,14,"2026-04-27",150.00,credito,CONCLUIDO
112,35,6,"2025-08-28",379.80,credito,CONCLUIDO
113,47,7,"2025-09-30",1300.00,pix,CONCLUIDO
114,58,14,"2025-10-23",79.90,credito,CONCLUIDO
115,23,13,"2026-07-07",179.90,credito,CONCLUIDO
116,26,14,"2025-09-14",399.80,pix,CONCLUIDO
117,7,9,"2026-08-14",740.00,pix,CONCLUIDO
118,33,12,"2025-04-04",837.76,credito,CONCLUIDO
119,32,12,"2025-10-23",1810.05,debito,CONCLUIDO
120,48,13,"2026-04-19",249.90,credito,CONCLUIDO
121,46,12,"2025-02-22",1300.00,pix,CONCLUIDO
122,50,12,"2025-05-05",1026.54,pix,CONCLUIDO
123,47,7,"2026-05-26",79.90,debito,CONCLUIDO
124,36,8,"2026-04-13",440.00,debito,CONCLUIDO
125,62,7,"2025-03-13",1801.56,credito,CONCLUIDO
126,43,14,"2026-05-17",90.00,pix,CONCLUIDO
127,40,11,"2026-04-12",275.93,credito,CONCLUIDO
128,51,11,"2026-01-31",822.30,debito,CONCLUIDO
129,61,12,"2025-04-13",2173.73,debito,CONCLUIDO
130,47,6,"2025-12-03",910.00,debito,CONCLUIDO
131,45,6,"2025-08-29",370.00,debito,CONCLUIDO
132,61,6,"2026-03-31",1035.23,pix,CONCLUIDO
133,49,7,"2025-06-24",42.00,pix,CONCLUIDO
134,15,8,"2026-04-18",150.00,debito,CONCLUIDO
135,35,9,"2026-07-14",2501.71,pix,CONCLUIDO
136,50,9,"2026-04-13",97.84,credito,CONCLUIDO
137,28,14,"2025-10-30",155.97,debito,CONCLUIDO
138,55,5,"2026-05-24",606.34,credito,CONCLUIDO
139,55,7,"2025-04-10",240.00,debito,CONCLUIDO
140,26,11,"2025-06-29",499.80,pix,CONCLUIDO
141,38,9,"2025-06-18",1180.00,credito,CONCLUIDO
142,49,11,"2026-07-25",60.00,credito,CONCLUIDO
143,35,10,"2025-09-26",384.28,debito,CONCLUIDO
144,7,14,"2026-07-29",513.23,credito,CONCLUIDO
145,37,6,"2025-04-10",710.00,pix,CONCLUIDO
146,32,14,"2025-06-08",269.90,credito,CONCLUIDO
147,34,12,"2025-08-30",199.90,credito,CONCLUIDO
148,47,10,"2025-03-04",200.00,credito,CONCLUIDO
149,11,8,"2026-09-04",1047.66,pix,CONCLUIDO
150,58,8,"2025-12-03",719.90,pix,CONCLUIDO
151,57,7,"2025-04-23",813.06,debito,CONCLUIDO
152,14,11,"2026-06-23",1079.90,pix,CONCLUIDO
153,45,5,"2026-06-18",180.00,credito,CONCLUIDO
154,31,11,"2025-04-21",268.32,credito,CONCLUIDO
155,43,13,"2025-11-29",695.44,credito,CONCLUIDO
156,61,8,"2026-03-17",950.94,credito,CONCLUIDO
157,22,10,"2025-06-06",1949.70,debito,CONCLUIDO
158,27,6,"2026-02-25",1979.80,credito,CONCLUIDO
159,28,6,"2026-08-15",199.90,debito,CONCLUIDO
160,28,13,"2026-01-12",1019.80,pix,CONCLUIDO
161,45,13,"2025-01-27",584.63,debito,CONCLUIDO
162,31,6,"2025-05-26",256.11,debito,CONCLUIDO
163,52,10,"2026-08-05",180.00,debito,CONCLUIDO
164,9,6,"2025-10-06",242.90,credito,CONCLUIDO
165,24,14,"2026-05-14",385.49,debito,CONCLUIDO
166,14,9,"2025-10-24",67.89,credito,CONCLUIDO
167,51,8,"2026-05-28",1703.45,debito,CONCLUIDO
168,61,10,"2026-08-13",56.67,credito,CONCLUIDO
169,26,7,"2026-04-17",1039.91,debito,CONCLUIDO
170,16,6,"2026-06-07",249.90,debito,CONCLUIDO
171,28,7,"2025-08-30",180.84,pix,CONCLUIDO
172,10,7,"2026-05-21",1079.80,credito,CONCLUIDO
173,45,10,"2025-11-20",72.64,pix,CONCLUIDO
174,9,10,"2026-06-04",90.00,pix,CONCLUIDO
175,24,6,"2025-04-03",60.00,debito,CONCLUIDO
176,56,5,"2026-04-06",1022.12,debito,CONCLUIDO
177,27,6,"2026-06-01",220.00,debito,CONCLUIDO
178,39,13,"2025-06-12",150.00,credito,CONCLUIDO
179,49,14,"2025-02-23",950.00,debito,CONCLUIDO
180,48,14,"2025-06-03",151.35,credito,CONCLUIDO
181,50,11,"2025-05-13",213.37,debito,CONCLUIDO
182,53,13,"2025-04-06",1052.10,debito,CONCLUIDO
183,18,8,"2025-05-21",899.90,pix,CONCLUIDO
184,59,13,"2025-02-08",899.90,debito,CONCLUIDO
185,15,7,"2025-07-05",1528.51,debito,CONCLUIDO
186,45,9,"2026-04-05",450.00,pix,CONCLUIDO
187,63,8,"2026-01-12",1215.91,debito,CONCLUIDO
188,9,12,"2026-01-16",429.80,debito,CONCLUIDO
189,64,8,"2026-04-07",1974.91,credito,CONCLUIDO
190,56,7,"2025-05-21",63.00,pix,CONCLUIDO
191,34,14,"2025-01-06",440.00,pix,CONCLUIDO
192,52,14,"2026-06-25",134.27,credito,CONCLUIDO
193,46,14,"2026-04-14",63.00,pix,CONCLUIDO
194,21,7,"2025-10-26",850.00,credito,CONCLUIDO
195,48,6,"2026-06-21",249.90,credito,CONCLUIDO
196,38,13,"2025-01-21",379.90,credito,CONCLUIDO
197,10,10,"2025-09-04",272.90,debito,CONCLUIDO
198,17,12,"2026-05-06",650.00,debito,CONCLUIDO
199,35,5,"2025-10-28",421.05,pix,CONCLUIDO
200,31,13,"2026-04-30",199.90,credito,CONCLUIDO
201,55,5,"2025-12-06",850.00,credito,CONCLUIDO
202,34,11,"2025-12-14",90.00,pix,CONCLUIDO
203,23,6,"2026-03-11",641.40,pix,CONCLUIDO
204,48,9,"2025-11-10",710.00,credito,CONCLUIDO
205,28,14,"2026-03-22",1079.90,credito,CONCLUIDO
206,49,7,"2025-02-01",249.87,pix,CONCLUIDO
207,42,5,"2025-06-07",850.00,debito,CONCLUIDO
208,42,7,"2026-06-27",199.90,credito,CONCLUIDO
209,7,7,"2026-05-27",249.90,debito,CONCLUIDO
210,51,12,"2025-08-08",81.67,debito,CONCLUIDO
211,17,12,"2025-03-31",1937.71,debito,CONCLUIDO
212,17,10,"2026-06-05",412.77,pix,CONCLUIDO
213,29,13,"2026-08-10",249.90,credito,CONCLUIDO
214,10,9,"2026-02-12",559.80,debito,CONCLUIDO
215,47,6,"2026-04-06",2301.52,credito,CONCLUIDO
216,33,13,"2025-02-26",113.08,pix,CONCLUIDO
217,28,13,"2025-10-18",566.57,pix,CONCLUIDO
218,45,13,"2025-04-06",1079.80,debito,CONCLUIDO
219,59,14,"2025-02-12",385.31,pix,CONCLUIDO
220,42,11,"2025-02-01",533.88,credito,CONCLUIDO
221,35,6,"2025-03-03",78.53,pix,CONCLUIDO
222,61,10,"2025-12-20",834.12,credito,CONCLUIDO
223,13,9,"2026-04-06",180.00,pix,CONCLUIDO
224,45,11,"2025-09-12",259.80,pix,CONCLUIDO
225,37,9,"2026-05-25",60.00,pix,CONCLUIDO
226,19,14,"2025-12-28",90.00,pix,CONCLUIDO
227,49,12,"2025-10-20",100.00,debito,CONCLUIDO
228,52,10,"2026-02-17",150.10,credito,CONCLUIDO
229,10,11,"2026-06-01",284.90,credito,CONCLUIDO
230,27,13,"2026-01-10",243.15,pix,CONCLUIDO
231,51,10,"2026-05-01",312.89,debito,CONCLUIDO
232,26,7,"2026-02-07",329.90,debito,CONCLUIDO
233,25,12,"2025-01-18",300.00,credito,CONCLUIDO
234,56,5,"2026-09-04",1046.49,debito,CONCLUIDO
235,45,11,"2025-06-01",353.95,debito,CONCLUIDO
236,26,11,"2025-06-05",619.80,credito,CONCLUIDO
237,9,7,"2026-06-16",199.90,pix,CONCLUIDO
238,17,12,"2026-06-30",399.80,credito,CONCLUIDO
239,47,9,"2026-05-11",1264.77,pix,CONCLUIDO
240,65,9,"2025-10-22",249.90,pix,CONCLUIDO
241,58,10,"2025-05-30",79.90,credito,CONCLUIDO
242,47,9,"2026-05-06",249.90,pix,CONCLUIDO
243,23,7,"2025-04-22",1110.39,debito,CONCLUIDO
244,27,12,"2025-04-13",1005.42,debito,CONCLUIDO
245,47,8,"2025-10-22",329.16,credito,CONCLUIDO
246,40,5,"2025-06-29",2130.00,credito,CONCLUIDO
247,61,9,"2025-02-08",179.90,pix,CONCLUIDO
248,24,12,"2026-07-11",1300.00,debito,CONCLUIDO
249,18,6,"2025-12-05",329.73,pix,CONCLUIDO
250,18,7,"2026-02-20",70.00,credito,CONCLUIDO
251,36,10,"2025-09-12",200.17,pix,CONCLUIDO
