"name";"category";"order_id";"cost";"price_unit";"amount";"discount";"total_price"
"Monitor 24"" Full HD";Monitores;21;400.00;650.00;1;30.00;620.00
Mousepad Extra Large;Acessórios;21;25.00;60.00;2;0.00;120.00
Cadeira Ergonômica;Móveis;22;500.00;850.00;1;50.00;800.00
Teclado Mecânico RGB;Periféricos;23;120.00;180.00;1;25.00;155.00
Mouse Gamer 10000 DPI;Periféricos;23;50.00;100.00;1;0.00;100.00
Teclado Mecânico;Periféricos;24;120.00;249.90;1;10.00;239.90
Headset Wireless;Áudio;25;150.00;220.00;1;20.00;200.00
Webcam 1080p;Acessórios;25;90.00;150.00;1;0.00;150.00
Cadeira Gamer;Móveis;26;450.00;899.90;1;70.00;829.90
Suporte para Monitor;Móveis;27;40.00;90.00;2;0.00;180.00
Headset Gamer;Áudio;28;95.00;199.90;1;10.00;189.90
Hub USB 3.0;Acessórios;28;35.00;79.90;2;0.00;159.80
"Monitor 24"" Full HD";Monitores;29;400.00;650.00;2;0.00;1300.00
Mouse Gamer 10000 DPI;Periféricos;30;50.00;100.00;2;5.00;195.00
Webcam Full HD;Periféricos;31;85.00;179.90;1;5.00;174.90
Cadeira Ergonômica;Móveis;32;500.00;850.00;1;0.00;850.00
Mousepad Extra Large;Acessórios;33;25.00;60.00;3;0.00;180.00
Teclado Mecânico RGB;Periféricos;34;120.00;180.00;1;0.00;180.00
Cadeira Gamer;Móveis;35;450.00;899.90;1;50.00;849.90
Headset Wireless;Áudio;35;150.00;220.00;1;0.00;220.00
Teclado Mecânico;Periféricos;36;120.00;249.90;2;30.00;469.80
Hub USB 3.0;Acessórios;37;35.00;79.90;1;0.00;79.90
"Monitor 24"" Full HD";Monitores;38;400.00;650.00;1;20.00;630.00
Suporte para Monitor;Móveis;38;40.00;90.00;1;0.00;90.00
Webcam 1080p;Acessórios;39;90.00;150.00;2;15.00;285.00
Headset Gamer;Áudio;40;95.00;199.90;1;10.00;189.90
Webcam Full HD;Periféricos;41;85.00;179.90;1;0.00;179.90
Cadeira Ergonômica;Móveis;41;500.00;850.00;2;0.00;1700.00
Suporte para Monitor;Móveis;41;40.00;90.00;1;27.00;63.00
Teclado Mecânico;Periféricos;42;120.00;249.90;1;0.00;249.90
"Monitor 24"" Full HD";Monitores;42;400.00;650.00;1;0.00;650.00
Hub USB 3.0;Acessórios;42;35.00;79.90;1;0.00;79.90
Headset Gamer;Áudio;43;95.00;199.90;1;0.00;199.90
Cadeira Ergonômica;Móveis;44;500.00;850.00;1;0.00;850.00
Teclado Mecânico RGB;Periféricos;45;120.00;180.00;1;19.87;160.13
Headset Wireless;Áudio;45;150.00;220.00;1;26.84;193.16
Cadeira Gamer;Móveis;46;450.00;899.90;1;0.00;899.90
Suporte para Monitor;Móveis;47;40.00;90.00;2;34.41;145.59
Cadeira Gamer;Móveis;48;450.00;899.90;1;25.19;874.71
Mouse Gamer 10000 DPI;Periféricos;48;50.00;100.00;1;16.24;83.76
Headset Gamer;Áudio;49;95.00;199.90;3;0.00;599.70
Headset Wireless;Áudio;50;150.00;220.00;2;0.00;440.00
Cadeira Gamer;Móveis;51;450.00;899.90;2;36.35;1763.45
Headset Wireless;Áudio;52;150.00;220.00;3;0.00;660.00
Suporte para Monitor;Móveis;53;40.00;90.00;1;0.00;90.00
Mouse Gamer 10000 DPI;Periféricos;54;50.00;100.00;1;0.00;100.00
Webcam Full HD;Periféricos;54;85.00;179.90;1;0.00;179.90
Mouse Gamer 10000 DPI;Periféricos;55;50.00;100.00;1;0.00;100.00
Cadeira Ergonômica;Móveis;56;500.00;850.00;1;34.05;815.95
Headset Wireless;Áudio;56;150.00;220.00;1;0.00;220.00
Webcam Full HD;Periféricos;57;85.00;179.90;1;16.93;162.97
Mouse Gamer 10000 DPI;Periféricos;57;50.00;100.00;2;0.00;200.00
Teclado Mecânico;Periféricos;58;120.00;249.90;1;0.00;249.90
Webcam 1080p;Acessórios;59;90.00;150.00;1;0.00;150.00
Headset Gamer;Áudio;59;95.00;199.90;1;0.00;199.90
Headset Wireless;Áudio;60;150.00;220.00;1;33.54;186.46
Teclado Mecânico RGB;Periféricos;61;120.00;180.00;1;5.16;174.84
